SHIPMENT_ID,SHIPMENT_DATE,ORDER_CREATED_TS_UTC,LAST_EVENT_TS_UTC,DELIVERED_TS_UTC,OFFICE_CODE,OFFICE_NAME,CITY,REGION,HUB_TYPE,CUSTOMER_CODE,CUSTOMER_NAME,CUSTOMER_SEGMENT,CUSTOMER_TYPE,PREFERRED_SERVICE_CODE,SERVICE_CODE,SERVICE_NAME,PRIORITY_LEVEL,SLA_HOURS,TEMPERATURE_CONTROL_FLAG,DEST_POSTAL_CODE,DEST_CITY,DEST_REGION,ROUTE_CODE,CARRIER_MODE,WEIGHT_KG,WEIGHT_BAND_RAW,BASE_PRICE_EUR,FUEL_SURCHARGE_EUR,TOTAL_PRICE_EUR,DELIVERY_STATUS,ATTEMPT_COUNT,SOURCE_SYSTEM,SOURCE_PLATFORM,SAP_DOCUMENT_NO,SNOWFLAKE_BATCH_ID,EXTRACT_TS_UTC
PC-2026-0001,2026-05-01,2026-05-01T07:00:00Z,2026-05-01T21:00:00Z,2026-05-02T03:00:00Z,MAD01,ParcelCraft Madrid Centro,Madrid,Centro,Urban Hub,CUST-100,Northwind Retail,Enterprise,B2B,EXP,EXP,Express,High,24,False,28001,Madrid,Centro,R-MAD01-02,Van,1.4,1-5 kg,10.32,0.72,11.04,Delivered,1.0,SAP_ECC,Snowflake,8026050001,SF_BATCH_20260505,2026-05-21T06:07:00Z
PC-2026-0002,2026-05-01,2026-05-01T08:00:00Z,2026-05-01T22:00:00Z,,MAD02,ParcelCraft Madrid Sur,Fuenlabrada,Centro,Distribution Hub,CUST-101,Fabrikam Urban Shop,SMB,B2B,EXP,EXP,Express,High,24,False,28002,Fuenlabrada,Centro,R-MAD02-01,Van,3.2,1-5 kg,10.86,0.76,11.62,In Transit,0.0,SAP_S4,Snowflake,8026050002,SF_BATCH_20260505,2026-05-21T06:14:00Z
PC-2026-0003,2026-05-01,2026-05-01T09:00:00Z,2026-05-01T23:00:00Z,2026-05-02T05:00:00Z,BCN01,ParcelCraft Barcelona Litoral,Barcelona,Este,Urban Hub,CUST-102,Alpine Electronics,Enterprise,B2B,STD,STD,Standard,Normal,48,False,28003,Barcelona,Este,R-BCN01-02,Van,6.1,5-10 kg,8.33,0.58,8.91,Delivered,1.0,SAP_ECC,Snowflake,8026050003,SF_BATCH_20260505,2026-05-21T06:21:00Z
PC-2026-0004,2026-05-01,2026-05-01T10:00:00Z,2026-05-02T00:00:00Z,,VAL02,ParcelCraft Valencia Norte,Valencia,Este,Regional Hub,CUST-103,CityCare Pharmacy,SMB,B2B,SAM,SAM,Same Day,Critical,12,False,28004,Valencia,Este,R-VAL02-01,Van,9.4,5-10 kg,16.32,1.14,17.46,Exception,2.0,ParcelOps,Snowflake,8026050004,SF_BATCH_20260505,2026-05-21T06:28:00Z
PC-2026-0005,2026-05-02,2026-05-02T06:00:00Z,2026-05-02T20:00:00Z,2026-05-03T02:00:00Z,SEV01,ParcelCraft Sevilla Cartuja,Sevilla,Sur,Regional Hub,CUST-104,Contoso Market,MidMarket,B2B,STD,STD,Standard,Normal,48,False,28005,Sevilla,Sur,R-SEV01-02,Van,12.7,10+ kg,10.31,0.72,11.03,Delivered,1.0,SAP_S4,Snowflake,8026050005,SF_BATCH_20260505,2026-05-21T06:35:00Z
PC-2026-0006,2026-05-02,2026-05-02T07:00:00Z,2026-05-02T21:00:00Z,2026-05-03T03:00:00Z,ZAR01,ParcelCraft Zaragoza Plataforma,Zaragoza,Noreste,National Hub,CUST-105,BlueYonder Home,SMB,B2C,STD,STD,Standard,Normal,48,False,28006,Zaragoza,Noreste,R-ZAR01-01,Linehaul,0.8,0-1 kg,6.74,0.47,7.21,Returned,2.0,ParcelOps,Snowflake,8026050006,SF_BATCH_20260505,2026-05-21T06:42:00Z
PC-2026-0007,2026-05-02,2026-05-02T08:00:00Z,2026-05-02T22:00:00Z,2026-05-03T04:00:00Z,MAD01,ParcelCraft Madrid Centro,Madrid,Centro,Urban Hub,CUST-106,Adventure Hub,MidMarket,B2C,ECO,ECO,Economy,Low,72,False,28007,Madrid,Centro,R-MAD01-02,Van,1.4,1-5 kg,8.62,0.6,9.22,Delivered,1.0,SAP_S4,Snowflake,8026050007,SF_BATCH_20260505,2026-05-21T06:49:00Z
PC-2026-0008,2026-05-02,2026-05-02T09:00:00Z,2026-05-02T23:00:00Z,,MAD02,ParcelCraft Madrid Sur,Fuenlabrada,Centro,Distribution Hub,CUST-107,MetroBooks,SMB,B2C,SAM,SAM,Same Day,Critical,12,False,28008,Fuenlabrada,Centro,R-MAD02-01,Van,3.2,1-5 kg,14.46,1.01,15.47,In Transit,,SAP_ECC,Snowflake,8026050008,SF_BATCH_20260505,2026-05-21T06:56:00Z
PC-2026-0009,2026-05-03,2026-05-03T10:00:00Z,2026-05-04T00:00:00Z,2026-05-04T06:00:00Z,BCN01,ParcelCraft Barcelona Litoral,Barcelona,Este,Urban Hub,CUST-108,GreenFoods Direct,Enterprise,B2B,EXP,EXP,Express,High,24,False,28009,Barcelona,Este,R-BCN01-02,Van,6.1,5-10 kg,11.73,0.82,12.55,Delivered,1.0,ParcelOps,Snowflake,8026050009,SF_BATCH_20260505,2026-05-21T07:03:00Z
PC-2026-0010,2026-05-03,2026-05-03T06:00:00Z,2026-05-03T20:00:00Z,,VAL02,ParcelCraft Valencia Norte,Valencia,Este,Regional Hub,CUST-109,UrbanNest,SMB,B2C,ECO,STD,Standard,Normal,48,False,28010,Valencia,Este,R-VAL02-01,Van,9.4,5-10 kg,9.32,0.65,9.97,In Transit,0.0,ParcelOps,Snowflake,8026050010,SF_BATCH_20260505,2026-05-21T07:10:00Z
