SHIPMENT_ID,SHIPMENT_DATE,ORDER_CREATED_TS_UTC,LAST_EVENT_TS_UTC,DELIVERED_TS_UTC,OFFICE_CODE,OFFICE_NAME,CITY,REGION,HUB_TYPE,CUSTOMER_CODE,CUSTOMER_NAME,CUSTOMER_SEGMENT,CUSTOMER_TYPE,PREFERRED_SERVICE_CODE,SERVICE_CODE,SERVICE_NAME,PRIORITY_LEVEL,SLA_HOURS,TEMPERATURE_CONTROL_FLAG,DEST_POSTAL_CODE,DEST_CITY,DEST_REGION,ROUTE_CODE,CARRIER_MODE,WEIGHT_KG,WEIGHT_BAND_RAW,BASE_PRICE_EUR,FUEL_SURCHARGE_EUR,TOTAL_PRICE_EUR,DELIVERY_STATUS,ATTEMPT_COUNT,SOURCE_SYSTEM,SOURCE_PLATFORM,SAP_DOCUMENT_NO,SNOWFLAKE_BATCH_ID,EXTRACT_TS_UTC,ZONE,LAT,LON
PC-2024-100000,2024-01-01,2023-02-03T11:00:00Z,2023-02-03T19:00:00Z,2023-02-04T03:00:00Z,LOG02,ParcelCraft Logroño Hub,Logroño,Noreste,Urban Hub,CUST-212,Client_212,Enterprise,B2B,SAM,SAM,Same Day,Critical,12,False,28031,Madrid,Centro,LOG02_Centro,Van,2.4,1-5 kg,14.94,1.2,16.14,Delivered,1,SAP_S4,Snowflake,900000,SF_BATCH_PRO,2026-06-25T17:43:51.161909Z,Centro,40.403256291016575,-3.7451687698661904
PC-2024-100001,2024-02-02,2023-02-16T14:00:00Z,2023-02-17T12:00:00Z,2023-02-18T10:00:00Z,CAS01,ParcelCraft Castellón Hub,Castellón,Este,Urban Hub,CUST-264,Client_264,SMB,B2B,ECO,ECO,Economy,Low,72,False,14007,Córdoba,Sur,CAS01_Sur,Van,5.6,5-10 kg,9.45,0.76,10.21,Delivered,1,SAP_S4,Snowflake,900001,SF_BATCH_PRO,2026-06-25T17:43:51.161945Z,Sur,40.36878681408237,-3.7426099670786734
PC-2024-100002,2024-03-03,2023-04-20T09:00:00Z,2023-04-21T14:00:00Z,2023-04-26T21:00:00Z,GET01,ParcelCraft Getafe Hub,Getafe,Centro,Urban Hub,CUST-133,Client_133,Enterprise,B2B,ECO,ECO,Economy,Low,72,False,26001,Logroño,Noreste,GET01_Noreste,Van,2.2,1-5 kg,14.58,1.17,15.75,Exception,1,SAP_S4,Snowflake,900002,SF_BATCH_PRO,2026-06-25T17:43:51.161969Z,Noreste,40.43335024398056,-3.692548820576668
PC-2024-100003,2024-04-04,2023-05-10T13:00:00Z,2023-05-11T02:00:00Z,2023-05-11T15:00:00Z,CÓR01,ParcelCraft Córdoba Hub,Córdoba,Sur,Urban Hub,CUST-197,Client_197,SMB,B2C,EXP,EXP,Express,High,24,False,14011,Córdoba,Sur,CÓR01_Sur,Van,1.4,1-5 kg,10.49,0.84,11.33,Delivered,3,SAP_S4,Snowflake,900003,SF_BATCH_PRO,2026-06-25T17:43:51.161990Z,Sur,40.3603004486538,-3.71722788450657
PC-2024-100004,2024-05-05,2023-04-24T04:00:00Z,2023-04-25T11:00:00Z,2023-04-26T19:00:00Z,MÓS01,ParcelCraft Móstoles Hub,Móstoles,Centro,Urban Hub,CUST-216,Client_216,SMB,B2C,STD,STD,Standard,Normal,48,False,11008,Cádiz,Sur,MÓS01_Sur,Van,23.4,10+ kg,12.17,0.97,13.14,Delivered,3,SAP_S4,Snowflake,900004,SF_BATCH_PRO,2026-06-25T17:43:51.162008Z,Sur,40.35444364506213,-3.6889155223283687
PC-2024-100005,2024-06-06,2023-03-26T00:00:00Z,2023-03-27T08:00:00Z,2023-03-28T17:00:00Z,MÓS01,ParcelCraft Móstoles Hub,Móstoles,Centro,Urban Hub,CUST-176,Client_176,Enterprise,B2C,ECO,ECO,Economy,Low,72,True,33014,Oviedo,Norte,MÓS01_Norte,Van,22.3,10+ kg,13.02,1.04,14.06,Delivered,1,SAP_S4,Snowflake,900005,SF_BATCH_PRO,2026-06-25T17:43:51.162028Z,Norte,40.37440588003502,-3.690473058821103
PC-2024-100006,2024-07-07,2023-03-26T01:00:00Z,2023-03-27T07:00:00Z,2023-03-28T14:00:00Z,BAR01,ParcelCraft Barcelona Hub,Barcelona,Este,Urban Hub,CUST-276,Client_276,SMB,B2C,STD,STD,Standard,Normal,48,False,8001,Barcelona,Este,BAR01_Este,Van,15.4,10+ kg,10.87,0.87,11.74,Delivered,3,SAP_S4,Snowflake,900006,SF_BATCH_PRO,2026-06-25T17:43:51.162047Z,Este,41.36815889334105,2.194259864391169
PC-2024-100007,2024-08-08,2023-05-16T17:00:00Z,2023-05-17T09:00:00Z,2023-05-18T01:00:00Z,GET01,ParcelCraft Getafe Hub,Getafe,Centro,Urban Hub,CUST-146,Client_146,Enterprise,B2B,STD,STD,Standard,Normal,48,False,46026,Valencia,Este,GET01_Este,Van,12.8,10+ kg,9.31,0.74,10.05,Delivered,2,SAP_S4,Snowflake,900007,SF_BATCH_PRO,2026-06-25T17:43:51.162065Z,Este,39.43753720914762,-0.4194002780568245
PC-2024-100008,2024-09-09,2023-01-16T05:00:00Z,2023-01-16T13:00:00Z,2023-04-26T21:00:00Z,GET01,ParcelCraft Getafe Hub,Getafe,Centro,Urban Hub,CUST-196,Client_196,Enterprise,B2C,SAM,SAM,Same Day,Critical,12,False,26006,Logroño,Noreste,GET01_Noreste,Van,5.2,5-10 kg,15.09,1.21,16.3,Returned,1,SAP_S4,Snowflake,900008,SF_BATCH_PRO,2026-06-25T17:43:51.162082Z,Noreste,40.37182183692658,-3.718551137810693
PC-2024-100009,2024-10-10,2023-02-28T17:00:00Z,2023-03-01T08:00:00Z,2023-03-02T00:00:00Z,BAR01,ParcelCraft Barcelona Hub,Barcelona,Este,Urban Hub,CUST-143,Client_143,Enterprise,B2B,EXP,EXP,Express,High,24,False,48019,Bilbao,Norte,BAR01_Norte,Van,7.8,5-10 kg,14.99,1.2,16.19,Delivered,1,SAP_S4,Snowflake,900009,SF_BATCH_PRO,2026-06-25T17:43:51.162099Z,Norte,43.230299375926606,-2.9523484937092404
PC-2024-100010,2024-11-11,2023-05-03T04:00:00Z,2023-05-03T18:00:00Z,2023-05-04T09:00:00Z,MÓS02,ParcelCraft Móstoles Hub,Móstoles,Centro,Urban Hub,CUST-296,Client_296,Enterprise,B2C,EXP,EXP,Express,High,24,False,28906,Getafe,Centro,MÓS02_Centro,Van,5.3,5-10 kg,7.56,0.6,8.16,Delivered,1,SAP_S4,Snowflake,900010,SF_BATCH_PRO,2026-06-25T17:43:51.162117Z,Centro,40.37996961901353,-3.742856480449999
PC-2024-100011,2024-12-12,2023-05-29T17:00:00Z,2023-05-31T01:00:00Z,2023-06-01T10:00:00Z,MAD03,ParcelCraft Madrid Hub,Madrid,Centro,Urban Hub,CUST-226,Client_226,SMB,B2B,ECO,ECO,Economy,Low,72,True,12018,Castellón,Este,MAD03_Este,Van,5.7,5-10 kg,14.41,1.15,15.56,Delivered,1,SAP_S4,Snowflake,900011,SF_BATCH_PRO,2026-06-25T17:43:51.162135Z,Este,40.42524545140298,-3.6556115804042406
PC-2025-100012,2025-01-13,2023-05-09T09:00:00Z,2023-05-10T15:00:00Z,2023-05-11T21:00:00Z,PAM01,ParcelCraft Pamplona Hub,Pamplona,Noreste,Urban Hub,CUST-214,Client_214,SMB,B2B,STD,STD,Standard,Normal,48,False,43020,Tarragona,Este,PAM01_Este,Van,21.3,10+ kg,12.22,0.98,13.2,Delivered,1,SAP_S4,Snowflake,900012,SF_BATCH_PRO,2026-06-25T17:43:51.162153Z,Este,40.3946171203031,-3.6950572392775625
PC-2025-100013,2025-02-14,2023-03-31T06:00:00Z,2023-04-01T01:00:00Z,2023-04-01T21:00:00Z,MÁL02,ParcelCraft Málaga Hub,Málaga,Sur,Urban Hub,CUST-142,Client_142,SMB,B2B,STD,STD,Standard,Normal,48,False,8005,Barcelona,Este,MÁL02_Este,Van,7.7,5-10 kg,13.89,1.11,15.0,Delivered,2,SAP_S4,Snowflake,900013,SF_BATCH_PRO,2026-06-25T17:43:51.162171Z,Este,41.38577959939801,2.1657910250695487
PC-2025-100014,2025-03-15,2023-05-29T00:00:00Z,2023-05-30T22:00:00Z,2023-06-01T20:00:00Z,PAM03,ParcelCraft Pamplona Hub,Pamplona,Noreste,Urban Hub,CUST-174,Client_174,SMB,B2B,STD,STD,Standard,Normal,48,False,26008,Logroño,Noreste,PAM03_Noreste,Van,4.8,1-5 kg,7.58,0.61,8.19,Delivered,1,SAP_S4,Snowflake,900014,SF_BATCH_PRO,2026-06-25T17:43:51.162189Z,Noreste,40.44570987084797,-3.662001637949536
PC-2025-100015,2025-04-16,2023-05-01T21:00:00Z,2023-05-02T17:00:00Z,2023-05-03T14:00:00Z,BAR01,ParcelCraft Barcelona Hub,Barcelona,Este,Urban Hub,CUST-262,Client_262,Enterprise,B2C,ECO,ECO,Economy,Low,72,False,29004,Málaga,Sur,BAR01_Sur,Van,5.6,5-10 kg,15.56,1.24,16.8,Delivered,1,SAP_S4,Snowflake,900015,SF_BATCH_PRO,2026-06-25T17:43:51.162207Z,Sur,40.3981243486255,-3.730187560930588
PC-2025-100016,2025-05-17,2023-05-30T03:00:00Z,2023-05-31T07:00:00Z,2023-06-01T12:00:00Z,CÁD03,ParcelCraft Cádiz Hub,Cádiz,Sur,Urban Hub,CUST-243,Client_243,SMB,B2C,STD,STD,Standard,Normal,48,False,31003,Pamplona,Noreste,CÁD03_Noreste,Van,7.2,5-10 kg,11.72,0.94,12.66,Delivered,1,SAP_S4,Snowflake,900016,SF_BATCH_PRO,2026-06-25T17:43:51.162224Z,Noreste,40.413611521476135,-3.717154086619337
PC-2025-100017,2025-06-18,2023-06-08T09:00:00Z,2023-06-08T15:00:00Z,2023-06-08T21:00:00Z,GET01,ParcelCraft Getafe Hub,Getafe,Centro,Urban Hub,CUST-123,Client_123,SMB,B2C,SAM,SAM,Same Day,Critical,12,False,33017,Oviedo,Norte,GET01_Norte,Van,17.7,10+ kg,11.39,0.91,12.3,Delivered,3,SAP_S4,Snowflake,900017,SF_BATCH_PRO,2026-06-25T17:43:51.162242Z,Norte,40.44121002612196,-3.72282088543758
PC-2025-100018,2025-07-19,2023-03-30T11:00:00Z,2023-03-31T15:00:00Z,2023-04-01T20:00:00Z,MÓS02,ParcelCraft Móstoles Hub,Móstoles,Centro,Urban Hub,CUST-263,Client_263,Enterprise,B2B,ECO,ECO,Economy,Low,72,True,50020,Zaragoza,Noreste,MÓS02_Noreste,Van,17.6,10+ kg,12.46,1.0,13.46,Delivered,2,SAP_S4,Snowflake,900018,SF_BATCH_PRO,2026-06-25T17:43:51.162259Z,Noreste,41.60964366907803,-0.8959413660528797
PC-2025-100019,2025-08-20,2023-03-23T17:00:00Z,2023-03-23T22:00:00Z,2023-03-24T03:00:00Z,CÁD01,ParcelCraft Cádiz Hub,Cádiz,Sur,Urban Hub,CUST-218,Client_218,SMB,B2C,SAM,SAM,Same Day,Critical,12,False,28902,Getafe,Centro,CÁD01_Centro,Van,18.0,10+ kg,14.56,1.16,15.72,Delivered,1,SAP_S4,Snowflake,900019,SF_BATCH_PRO,2026-06-25T17:43:51.162275Z,Centro,40.360794277496296,-3.664555312936417
