SHIPMENT_ID,SHIPMENT_DATE,ORDER_CREATED_TS_UTC,LAST_EVENT_TS_UTC,DELIVERED_TS_UTC,OFFICE_CODE,OFFICE_NAME,CITY,REGION,HUB_TYPE,CUSTOMER_CODE,CUSTOMER_NAME,CUSTOMER_SEGMENT,CUSTOMER_TYPE,PREFERRED_SERVICE_CODE,SERVICE_CODE,SERVICE_NAME,PRIORITY_LEVEL,SLA_HOURS,TEMPERATURE_CONTROL_FLAG,DEST_POSTAL_CODE,DEST_CITY,DEST_REGION,ROUTE_CODE,CARRIER_MODE,WEIGHT_KG,WEIGHT_BAND_RAW,BASE_PRICE_EUR,FUEL_SURCHARGE_EUR,TOTAL_PRICE_EUR,DELIVERY_STATUS,ATTEMPT_COUNT,SOURCE_SYSTEM,SOURCE_PLATFORM,SAP_DOCUMENT_NO,SNOWFLAKE_BATCH_ID,EXTRACT_TS_UTC,ZONE,LAT,LON
PC-2023-100000,2023-02-03,2023-02-03T11:00:00Z,2023-02-03T19:00:00Z,2023-02-04T03:00:00Z,LOG02,ParcelCraft Logroño Hub,Logroño,Noreste,Urban Hub,CUST-212,Client_212,Enterprise,B2B,SAM,SAM,Same Day,Critical,12,False,28031,Madrid,Centro,LOG02_Centro,Van,2.4,1-5 kg,14.94,1.2,16.14,Delivered,1.0,SAP_S4,Snowflake,900000,SF_BATCH_PRO,2026-06-25T17:43:51.161909Z,Centro,40.403256291016575,-3.7451687698661904
PC-2023-100001,2023-02-16,2023-02-16T14:00:00Z,2023-02-17T12:00:00Z,2023-02-18T10:00:00Z,CAS01,ParcelCraft Castellón Hub,Castellón,Este,Urban Hub,CUST-264,Client_264,SMB,B2B,ECO,ECO,Economy,Low,72,False,14007,Córdoba,Sur,CAS01_Sur,Van,5.6,5-10 kg,9.45,0.76,10.21,Delivered,1.0,SAP_S4,Snowflake,900001,SF_BATCH_PRO,2026-06-25T17:43:51.161945Z,Sur,40.36878681408237,-3.7426099670786734
PC-2023-100002,2023-04-20,2023-04-20T09:00:00Z,2023-04-21T14:00:00Z,,GET01,ParcelCraft Getafe Hub,Getafe,Centro,Urban Hub,CUST-133,Client_133,Enterprise,B2B,ECO,ECO,Economy,Low,72,False,26001,Logroño,Noreste,GET01_Noreste,Van,2.2,1-5 kg,14.58,1.17,15.75,Exception,1.0,SAP_S4,Snowflake,900002,SF_BATCH_PRO,2026-06-25T17:43:51.161969Z,Noreste,40.43335024398056,-3.692548820576668
PC-2023-100003,2023-05-10,2023-05-10T13:00:00Z,2023-05-11T02:00:00Z,2023-05-11T15:00:00Z,CÓR01,ParcelCraft Córdoba Hub,Córdoba,Sur,Urban Hub,CUST-197,Client_197,SMB,B2C,EXP,EXP,Express,High,24,False,14011,Córdoba,Sur,CÓR01_Sur,Van,1.4,1-5 kg,10.49,0.84,11.33,Delivered,3.0,SAP_S4,Snowflake,900003,SF_BATCH_PRO,2026-06-25T17:43:51.161990Z,Sur,40.3603004486538,-3.71722788450657
PC-2023-100004,2023-04-24,2023-04-24T04:00:00Z,2023-04-25T11:00:00Z,2023-04-26T19:00:00Z,MÓS01,ParcelCraft Móstoles Hub,Móstoles,Centro,Urban Hub,CUST-216,Client_216,SMB,B2C,STD,STD,Standard,Normal,48,False,11008,Cádiz,Sur,MÓS01_Sur,Van,23.4,10+ kg,12.17,0.97,13.14,Delivered,,SAP_S4,Snowflake,900004,SF_BATCH_PRO,2026-06-25T17:43:51.162008Z,Sur,40.35444364506213,-3.6889155223283687
PC-2023-100005,2023-03-26,2023-03-26T00:00:00Z,2023-03-27T08:00:00Z,2023-03-28T17:00:00Z,MÓS01,ParcelCraft Móstoles Hub,Móstoles,Centro,Urban Hub,CUST-176,Client_176,Enterprise,B2C,ECO,ECO,Economy,Low,72,True,33014,Oviedo,Norte,MÓS01_Norte,Van,22.3,10+ kg,13.02,1.04,14.06,Delivered,1.0,SAP_S4,Snowflake,900005,SF_BATCH_PRO,2026-06-25T17:43:51.162028Z,Norte,40.37440588003502,-3.690473058821103
PC-2023-100006,2023-03-26,2023-03-26T01:00:00Z,2023-03-27T07:00:00Z,2023-03-28T14:00:00Z,BAR01,ParcelCraft Barcelona Hub,Barcelona,Este,Urban Hub,CUST-276,Client_276,SMB,B2C,STD,STD,Standard,Normal,48,False,8001,Barcelona,Este,BAR01_Este,Van,15.4,10+ kg,10.87,0.87,11.74,Delivered,3.0,SAP_S4,Snowflake,900006,SF_BATCH_PRO,2026-06-25T17:43:51.162047Z,Este,41.36815889334105,2.194259864391169
PC-2023-100007,2023-05-16,2023-05-16T17:00:00Z,2023-05-17T09:00:00Z,2023-05-18T01:00:00Z,GET01,ParcelCraft Getafe Hub,Getafe,Centro,Urban Hub,CUST-146,Client_146,Enterprise,B2B,STD,STD,Standard,Normal,48,False,46026,Valencia,Este,GET01_Este,Van,12.8,10+ kg,9.31,0.74,10.05,Delivered,2.0,SAP_S4,Snowflake,900007,SF_BATCH_PRO,2026-06-25T17:43:51.162065Z,Este,39.43753720914762,-0.4194002780568245
PC-2023-100008,2023-01-16,2023-01-16T05:00:00Z,2023-01-16T13:00:00Z,,GET01,ParcelCraft Getafe Hub,Getafe,Centro,Urban Hub,CUST-196,Client_196,Enterprise,B2C,SAM,SAM,Same Day,Critical,12,False,26006,Logroño,Noreste,GET01_Noreste,Van,5.2,5-10 kg,15.09,1.21,16.3,Returned,1.0,SAP_S4,Snowflake,900008,SF_BATCH_PRO,2026-06-25T17:43:51.162082Z,Noreste,40.37182183692658,-3.718551137810693
PC-2023-100009,2023-02-28,2023-02-28T17:00:00Z,2023-03-01T08:00:00Z,,BAR01,ParcelCraft Barcelona Hub,Barcelona,Este,Urban Hub,CUST-143,Client_143,Enterprise,B2B,EXP,EXP,Express,High,24,False,48019,Bilbao,Norte,BAR01_Norte,Van,7.8,5-10 kg,14.99,1.2,16.19,Delivered,1.0,SAP_S4,Snowflake,900009,SF_BATCH_PRO,2026-06-25T17:43:51.162099Z,Norte,43.230299375926606,-2.9523484937092404
PC-2023-100010,2023-05-03,2023-05-03T04:00:00Z,2023-05-03T18:00:00Z,2023-05-04T09:00:00Z,MÓS02,ParcelCraft Móstoles Hub,Móstoles,Centro,Urban Hub,CUST-296,Client_296,Enterprise,B2C,EXP,EXP,Express,High,24,False,28906,Getafe,Centro,MÓS02_Centro,Van,5.3,5-10 kg,7.56,0.6,8.16,Delivered,1.0,SAP_S4,Snowflake,900010,SF_BATCH_PRO,2026-06-25T17:43:51.162117Z,Centro,40.37996961901353,-3.742856480449999
